250 3000
240 145 104430
202 52 847530
100 169 684433
9 216 498158
81 121 425275
124 112 938466
210 211 237111
128 31 305752
204 79 382310
217 231 985758
142 46 844127
36 207 330151
213 142 368784
240 176 719286
57 229 909136
154 200 378155
31 207 632619
77 35 366060
163 96 115922
96 5 83653
26 222 737598
44 84 846274
204 185 366390
169 14 373584
7 215 254458
43 65 675763
20 94 648776
232 174 113570
83 95 654207
190 32 199558
219 128 189338
209 172 199418
42 32 822520
135 246 852807
118 191 372982
132 61 447036
28 97 807191
219 31 371480
208 239 855848
84 55 581088
79 36 990965
136 1 487148
130 154 414702
94 155 544817
129 153 218321
159 33 380763
145 135 373253
110 204 761594
87 219 822252
58 20 165592
225 64 351066
59 215 966468
53 122 458694
92 249 262408
22 83 840273
136 204 209858
53 217 610815
91 30 285110
188 89 20477
223 206 610582
229 112 866581
216 66 826089
180 98 168678
67 174 155125
112 247 913470
105 164 401438
133 114 837112
88 173 677741
181 64 379754
162 104 755546
76 13 46613
226 62 430864
133 171 663135
129 10 597215
226 204 579073
42 138 929649
54 49 847289
1 246 622343
48 74 4846
49 96 997716
207 150 604806
139 68 189046
109 4 159596
190 232 656491
154 223 812163
217 29 665521
76 230 441207
245 87 118403
92 101 621757
236 87 869205
42 18 595301
185 182 513157
122 42 637327
178 106 366634
62 45 52850
93 127 249313
83 87 471803
60 145 807517
84 230 478770
136 34 115982
123 28 942384
60 113 460884
213 153 895322
228 36 228212
10 213 535520
194 48 315620
8 227 625716
65 20 748467
59 40 214020
164 85 921639
194 204 834470
87 117 177157
195 30 392630
79 224 719217
190 196 501029
102 130 101447
202 100 6449
191 217 752681
225 182 545347
144 215 129310
221 113 492336
227 8 395516
73 53 147482
72 56 380924
182 165 430569
36 23 965428
55 133 273052
41 22 943114
102 241 463917
160 195 865519
86 203 50241
138 216 794472
18 12 172454
166 27 918900
85 243 532628
39 11 346265
203 69 463668
179 24 363496
0 210 148194
130 211 935554
239 19 728621
5 48 905702
57 126 852488
106 149 123674
125 60 275256
69 18 251381
167 119 276513
182 85 795492
45 11 506509
149 172 92123
53 106 959377
57 140 137631
186 66 443732
159 38 191447
6 4 812665
189 22 160199
75 223 874272
45 141 253299
131 33 937599
73 11 474749
117 76 379214
85 4 935104
131 75 775168
83 145 41610
216 12 434759
120 187 589732
49 46 258525
176 10 782026
189 38 290007
163 142 373141
177 140 18344
170 15 550060
162 218 169648
66 126 21361
11 148 460658
62 84 928093
152 199 631944
69 140 148910
53 98 719995
123 85 371533
149 9 501331
218 48 82867
26 108 562685
74 34 870226
48 233 208613
244 232 485394
158 225 764368
138 86 873136
48 113 225126
154 41 762220
88 27 225273
201 239 481384
0 124 170102
85 238 394942
100 198 461449
188 57 822934
89 224 747368
30 8 64392
84 11 200557
146 181 739368
51 133 682356
222 217 817471
81 248 311652
100 147 898280
234 38 343636
202 97 230036
108 17 745778
133 94 940390
48 46 758293
45 120 713013
203 154 106362
5 172 1359
242 53 442998
119 41 547819
197 145 64753
2 164 953169
99 32 347184
81 33 140953
148 233 851638
248 140 981295
174 222 402396
219 47 266647
28 214 405703
12 6 413424
15 73 521658
226 63 20466
36 195 485911
137 4 438886
77 210 492950
212 187 265930
9 247 290948
167 144 270758
246 223 248205
205 198 950799
205 177 729773
185 112 751563
199 86 436086
97 169 322527
207 146 507240
180 57 102319
34 167 283109
101 122 116807
7 62 253656
167 129 644336
219 188 367121
141 2 763612
61 232 273572
173 56 362914
234 7 227102
113 62 378622
195 13 325325
167 76 963039
222 214 845885
187 143 650546
59 108 358688
143 4 560367
66 208 378680
93 135 375138
128 203 176337
108 46 903070
198 227 953618
35 210 288506
180 55 394288
218 124 826274
8 97 620115
119 228 225512
81 246 86780
12 10 961517
29 241 652330
97 209 129016
18 7 161821
132 26 535453
120 197 564980
176 236 242642
86 120 983416
189 23 547141
212 7 364770
193 134 913817
46 202 143203
239 151 211168
20 220 159295
242 231 507755
214 42 145216
189 184 692250
198 220 43095
189 127 933943
190 192 174
31 98 984003
143 61 318204
228 32 163207
71 83 673762
11 101 595801
8 118 7786
7 126 746771
96 105 74332
176 230 820088
103 129 407571
14 228 560006
188 171 772606
81 77 829609
225 202 699901
223 130 687385
113 70 223615
217 89 285837
49 94 484815
203 27 52497
107 83 47301
23 9 231020
47 134 297588
245 37 706718
23 161 351897
78 99 804262
142 57 293663
114 112 912282
80 191 822907
236 244 292094
37 173 37685
217 0 128740
93 188 872222
38 167 135750
152 62 409297
92 49 627935
39 179 904119
26 68 777523
152 104 31337
165 43 802707
132 23 325686
74 204 276870
68 231 398870
210 9 701030
124 181 582942
206 67 851739
131 103 170746
2 2 710399
162 165 398649
218 22 236570
186 242 862274
240 123 531137
31 248 420652
149 19 590016
58 38 315091
21 180 397991
152 246 215665
117 196 359378
65 216 819914
124 65 448585
39 61 978156
228 50 843045
92 6 186468
28 13 4531
156 222 237340
29 210 756629
131 11 178372
17 39 25445
194 73 403643
84 151 317448
241 125 163676
221 40 649460
35 168 856937
27 91 523238
247 201 165227
132 205 811203
49 209 302089
53 61 553120
70 187 348589
156 180 998822
6 164 836087
170 63 189281
190 101 316121
63 196 405789
164 227 869528
40 231 564894
185 192 693452
42 20 606000
24 231 105049
232 123 401598
195 146 54475
128 92 28404
12 16 91068
17 31 490925
119 66 552430
125 49 778977
205 163 792917
113 69 835595
83 226 638242
101 21 252886
44 221 64730
34 0 164724
237 216 254541
185 153 771699
192 248 947424
120 185 822260
87 144 518620
81 228 840794
218 61 349099
46 190 179282
71 161 363170
6 18 326411
212 148 390244
17 182 583998
74 228 153888
199 170 992609
220 193 763510
94 172 492448
142 83 811178
1 208 581749
11 70 146364
138 85 233094
16 33 961200
10 91 442134
184 76 61146
124 78 703665
31 128 413986
16 123 212906
82 61 172723
249 226 557381
168 216 926516
161 244 830573
183 54 27714
192 84 205844
16 135 527754
198 143 404172
60 181 815689
27 157 725518
223 242 819959
14 216 203558
100 22 654191
189 224 305167
168 50 8038
247 171 473192
22 104 922670
58 24 886668
203 162 581730
94 164 584714
146 175 967282
67 4 421092
25 190 741881
221 231 838834
35 49 432902
220 132 118151
113 77 749571
67 193 739179
211 239 413103
81 233 895374
63 170 475657
198 68 113610
226 233 519460
138 90 243295
196 71 393289
165 84 423975
149 231 722012
223 74 282819
47 179 958430
1 212 701372
34 36 947087
5 168 819150
38 173 239110
143 54 655076
137 107 598465
81 75 202226
59 23 486980
20 135 181562
8 92 647744
104 153 66024
236 155 525356
62 136 934291
41 231 43383
59 102 461572
36 248 336773
51 38 107234
101 19 324386
240 49 769245
213 96 874001
183 198 881392
211 225 22122
60 8 519262
227 167 678640
76 247 824637
226 137 778962
194 108 314228
36 138 363564
241 103 203327
53 133 824279
236 20 630300
183 52 399830
63 107 236221
161 5 285918
165 108 220176
89 53 283477
14 124 958799
136 16 53070
230 216 639959
26 34 307656
75 85 260668
23 211 34694
246 244 738094
82 81 123978
83 77 825337
239 210 115505
68 208 875038
203 193 538715
95 138 196162
248 3 419902
209 205 901796
91 110 626981
172 103 404512
165 185 289652
67 136 175039
85 232 196452
245 182 574719
29 241 614506
20 3 279329
121 0 865320
64 41 841201
16 40 398621
131 166 957117
26 130 423677
181 243 144459
100 235 164706
164 172 983154
175 41 729394
129 240 369059
108 116 259650
50 71 961818
17 124 5759
78 85 744428
247 92 687724
201 108 301945
179 242 482503
81 3 224119
53 96 879438
108 76 163533
68 46 702342
69 101 246159
76 36 619077
208 173 475511
249 3 649677
115 168 803640
214 96 322300
152 54 185163
37 209 644912
75 111 845900
152 87 559129
173 41 197826
32 194 515978
152 138 700538
38 145 633690
1 221 463105
246 156 262943
167 185 565348
175 212 934470
235 16 191694
77 121 83687
15 5 836381
173 162 64968
38 210 79191
80 176 245299
39 110 1605
20 242 462430
187 1 37414
180 89 547697
190 94 487561
107 202 954423
108 45 126765
10 218 14930
246 62 210371
105 58 274979
42 140 782386
186 118 487315
218 126 90226
212 4 241132
221 156 120160
147 215 797345
133 247 51743
59 95 337097
102 154 133810
62 100 858142
59 95 889557
73 235 81979
35 233 467653
193 92 213384
28 117 826179
179 224 299448
174 142 542080
12 28 571970
195 215 29752
43 239 513164
217 24 739754
229 213 455090
215 231 30338
151 71 847752
147 97 867025
186 206 209874
148 131 763820
104 27 767706
100 1 176027
143 60 472395
243 147 888603
96 57 951620
190 141 25075
16 17 611076
61 241 844173
18 56 846896
215 222 309145
188 192 579522
86 120 234742
0 6 678120
196 179 182286
164 45 886447
70 74 245503
247 12 979627
181 84 71651
142 217 974021
50 17 824995
60 161 483619
124 11 546342
131 171 918732
220 211 564849
241 60 472060
41 102 230256
96 160 521224
212 123 770145
131 199 616918
161 103 694357
116 198 12215
152 90 352668
65 54 779491
152 231 261553
52 135 86846
167 45 223251
47 157 273172
181 67 258260
116 0 550188
7 153 182723
248 104 415669
100 244 397522
245 234 184287
228 186 655563
46 136 660449
226 101 390066
37 31 474635
135 30 832435
52 9 231959
107 25 333049
189 61 930017
222 8 189826
64 57 487219
168 54 743770
241 143 621460
192 247 565571
56 169 2625
49 140 353668
107 88 48447
62 221 853084
42 34 972852
63 166 570127
184 247 183724
169 24 610899
208 124 822845
202 38 958925
155 123 485750
183 90 435431
187 173 475903
82 247 885810
72 9 745238
170 210 577296
179 165 464870
0 5 660968
72 111 851460
173 38 852443
209 46 285087
203 130 862393
142 45 26428
28 235 367853
212 53 865067
19 107 959457
141 44 988968
59 37 668826
178 117 724116
163 192 564600
41 225 369381
37 15 980586
248 154 148042
164 236 324418
179 39 546725
110 50 52272
18 99 119183
143 49 656731
211 21 214396
10 97 726351
113 175 202261
112 222 750666
139 167 324416
125 3 70163
11 88 921009
233 25 520936
149 10 289680
42 10 38064
190 70 35248
79 106 660917
192 239 767421
2 106 10659
239 232 127952
93 206 117248
244 238 575695
215 130 647018
118 54 626770
133 158 547065
236 146 228775
71 160 231529
142 73 265522
128 203 169437
46 227 734218
199 55 651427
72 30 145792
140 149 421638
53 52 801157
173 233 718618
183 58 38289
107 38 216724
239 249 172277
123 70 644492
49 17 358102
133 17 499588
184 195 24678
24 92 430803
44 151 342870
129 185 336723
18 10 810788
159 57 793632
69 172 492287
31 113 427415
194 245 629975
111 173 932957
61 88 353951
35 114 756195
53 166 12303
167 113 896101
226 91 151736
4 212 951068
123 184 778792
130 7 982761
185 92 399161
189 113 940837
45 76 678544
210 199 168297
211 10 59346
108 119 593196
15 168 552620
60 226 333140
222 169 244007
158 169 301655
235 58 791649
88 229 994437
5 43 34989
13 37 953815
71 213 908662
41 17 824419
69 114 123610
223 33 230607
212 195 591647
146 101 789404
5 182 810878
135 178 565224
134 159 365597
106 88 738310
1 73 96439
120 155 833853
80 22 757258
182 32 541275
135 37 112458
152 182 522534
64 32 316345
80 117 238615
48 8 409237
17 77 16044
208 196 499651
217 241 26488
165 201 669353
112 198 850448
4 227 943525
154 107 916699
164 19 61501
154 237 46592
46 100 74189
179 178 331062
82 104 754437
68 81 541663
147 113 142395
68 39 196414
73 177 204969
181 88 224503
28 147 28813
45 118 615647
196 120 444825
219 156 920006
33 24 610076
57 26 227034
133 171 845766
228 135 962155
35 21 727050
188 131 521095
12 232 646964
249 180 25844
49 31 345574
241 91 866031
83 147 508339
221 80 308365
206 75 721838
187 85 923341
78 8 915252
157 115 548367
52 7 339708
13 209 816938
33 28 947199
230 13 632298
1 82 726660
86 147 16796
38 111 307787
38 249 329016
102 123 492738
122 56 157858
93 22 157295
32 57 417256
203 248 749241
68 86 254245
146 48 646910
133 120 585996
71 129 596254
200 52 941525
127 238 752247
166 125 793097
67 83 67420
20 114 531173
23 27 608865
205 36 37024
236 246 738809
74 166 947949
222 88 637309
40 123 733221
71 225 162591
74 83 584740
43 137 563677
151 233 940035
23 85 237565
131 166 221823
185 4 917658
141 165 754994
147 204 176980
112 42 779250
97 131 298667
39 222 37631
102 114 508630
64 88 820297
208 95 205976
222 27 238142
158 158 546544
42 105 935018
114 107 759318
29 47 604567
177 133 485041
249 93 795250
213 142 258358
24 158 105458
12 58 659980
66 79 681330
239 237 675902
207 9 375496
49 162 864064
214 10 483149
139 109 900704
143 50 922831
75 232 77984
154 35 535928
197 210 459984
176 46 649226
62 171 161781
177 184 403221
201 162 469432
216 71 927284
95 6 426823
97 157 777716
248 190 411407
152 41 291343
5 184 933891
214 0 23280
215 17 545809
6 9 932564
190 72 943806
167 99 581803
13 50 216271
119 126 808065
81 149 70817
101 158 560879
55 66 227118
168 124 753667
7 151 627174
55 188 150441
197 225 699062
127 150 565767
202 93 589510
190 240 575179
231 170 739400
15 95 498409
237 209 514686
41 242 467269
12 50 424826
89 120 31807
215 134 164655
78 168 46824
114 128 58822
103 93 188555
0 233 802730
5 210 698335
216 121 925222
113 153 537668
25 34 93397
31 121 983828
192 87 194564
238 229 505415
104 56 739247
124 235 400804
68 64 288085
210 210 67112
248 15 413752
145 48 377606
230 160 14157
174 45 286039
5 159 897525
235 227 835527
159 187 8309
114 67 881593
131 16 874072
192 206 139618
120 91 385953
109 213 961804
97 222 708484
243 216 60680
60 160 799238
44 12 291710
203 165 250615
243 10 985075
162 130 105329
19 181 679252
198 247 805385
219 153 136111
85 27 307162
222 165 99194
198 143 929049
208 179 142383
66 198 356510
20 163 740019
182 60 465871
47 194 254928
57 0 53779
140 233 3302
74 132 944644
183 196 535861
214 248 839742
34 192 974219
91 22 252870
70 198 867719
199 145 893481
141 118 871034
56 201 620545
233 243 584080
105 150 991704
195 243 595607
103 175 656704
21 34 411004
36 219 151137
177 154 420324
204 177 951385
125 207 81844
187 211 71331
58 59 591914
222 218 726575
193 112 227615
175 224 214359
133 216 416717
204 69 656281
155 30 143294
159 110 37707
233 109 994867
31 224 481129
192 82 16875
122 96 278646
242 154 752537
117 239 718672
48 171 895670
189 13 268013
237 230 832123
234 113 632101
122 61 187877
106 175 74491
137 178 947622
145 152 794701
118 159 941135
73 192 552983
5 211 15396
58 19 769852
237 170 359005
41 230 532215
130 103 184779
54 50 342690
118 124 716325
95 221 614538
150 74 986090
132 56 749866
240 92 283115
225 23 960586
180 232 905817
47 3 939556
121 23 397309
225 139 687608
55 110 75940
103 234 421514
117 240 126449
66 27 324137
127 155 611996
45 153 952360
212 72 451591
4 227 371718
109 61 209603
161 46 753374
233 90 472734
58 246 863066
225 75 44186
206 27 159752
187 119 39389
193 190 509067
229 195 665040
229 125 664453
189 105 517416
128 241 27059
177 1 227089
105 17 597149
11 236 640707
197 110 653136
113 86 594480
25 117 596932
132 10 87631
238 17 875743
160 131 70587
183 160 721091
45 130 713191
41 135 27023
75 215 435874
59 93 738110
166 36 871904
98 238 609881
90 164 705035
12 237 644057
218 96 145762
85 146 585909
55 12 375614
111 142 992828
116 84 669741
158 204 699312
203 248 751024
103 162 825855
33 30 192884
94 240 622881
220 142 29558
47 23 100519
150 159 594136
169 55 238210
52 8 179472
247 162 593174
110 75 633290
116 72 667235
82 112 264024
161 217 879626
85 54 136008
173 172 260481
0 42 99981
63 167 601284
185 83 674874
70 73 836990
185 189 932360
107 39 727889
56 50 646577
99 187 75314
164 25 144195
148 104 765038
5 216 376580
122 59 181734
0 181 545289
47 197 228941
129 197 784335
53 45 59689
62 236 390
13 176 964028
141 7 216081
65 238 984387
146 7 791028
159 110 543854
144 125 957546
128 217 677903
165 241 21350
86 149 576410
116 49 976310
218 42 363949
67 63 133501
197 94 161223
72 55 184082
110 25 553885
198 30 368493
72 207 839666
98 25 956913
82 190 483055
221 168 946099
162 72 515151
125 68 60386
61 213 546271
231 135 81310
191 84 246707
129 222 10217
55 170 978245
113 107 478271
116 144 263515
173 224 374015
155 92 576306
60 73 333431
182 193 204302
140 105 218800
36 154 492959
138 216 636643
192 66 742181
17 56 48025
242 195 932230
121 47 387118
185 200 746356
186 211 147459
109 58 62428
14 153 831612
117 151 239753
179 1 86695
247 119 776158
243 239 386742
128 125 423897
35 206 450887
51 155 498575
234 54 992575
158 174 594115
184 194 542958
246 129 879180
156 55 386554
121 228 87477
249 143 833037
72 87 157950
57 103 553661
21 196 273715
156 215 745786
195 34 658422
201 219 648031
77 192 361790
38 85 563213
189 186 233503
243 232 558882
201 5 155033
42 150 933473
26 180 895509
96 120 599237
22 40 575408
36 170 950573
170 78 442522
108 75 829808
108 96 427930
48 103 49926
181 10 504497
94 77 41924
30 142 759302
234 249 330106
60 216 870731
158 146 209735
234 199 256250
71 223 121746
135 171 232230
25 103 83762
187 223 994110
100 189 408748
167 99 287677
114 133 383519
105 239 938848
198 159 344059
37 144 227170
223 4 45466
68 246 781594
19 64 51748
93 139 396977
234 222 324171
248 119 684886
237 11 325503
181 43 744357
88 202 684805
148 61 340506
134 76 860016
195 189 947989
162 64 462774
72 139 833159
205 157 653800
113 113 320193
165 84 418996
22 10 426436
82 168 376196
177 125 672973
98 143 888552
22 105 225920
64 249 920713
235 192 794008
86 88 29154
89 1 371676
241 34 860097
210 234 573999
121 132 902977
41 239 434672
142 178 423678
218 47 468834
77 48 641605
12 233 429869
217 193 55025
219 72 709119
6 188 884603
83 107 909224
160 187 608814
117 198 367525
90 132 633804
67 89 67071
236 165 124360
114 189 233208
22 170 521898
154 115 536028
82 56 191115
203 109 658107
1 133 428064
146 60 526495
184 202 276707
34 164 145475
188 52 395838
165 243 533600
98 163 703183
124 211 122767
16 154 280934
6 66 298907
81 7 186122
11 134 62334
47 110 417150
76 45 684205
148 102 266240
197 203 766753
227 158 444218
223 64 152771
11 245 510960
189 200 207351
192 106 990861
149 67 581147
46 182 462059
200 20 666238
47 82 91764
173 222 136490
202 76 829040
32 116 166318
196 121 130856
187 98 605348
154 46 456619
34 44 61962
87 23 299942
15 161 127459
235 239 184593
202 40 122008
9 223 427364
34 161 81064
147 50 651617
114 188 263287
187 1 195930
218 37 754053
170 178 242306
176 247 332247
243 137 804531
86 47 90532
168 163 328700
182 21 553675
43 139 842007
200 115 328745
135 17 60125
43 3 754819
206 5 264542
206 189 983738
99 70 393777
89 86 728543
63 39 843163
47 84 724135
62 14 620198
148 29 777765
31 106 932555
62 147 756973
148 45 721474
69 45 70939
63 94 633185
33 230 298077
156 218 248715
136 197 224951
52 156 980279
74 83 124002
83 124 224250
194 108 252347
194 164 766171
90 188 956968
202 205 452516
141 36 587366
236 86 30011
42 7 231777
224 197 935278
175 225 506254
97 77 963511
116 109 459753
69 34 84979
189 163 739089
21 176 889930
130 247 330962
227 109 386173
56 156 972274
13 117 147484
209 84 31747
76 6 223972
226 154 347016
153 230 852527
112 83 201985
203 39 125391
88 23 315865
165 188 276589
127 9 824344
237 34 922573
192 17 504846
233 22 975954
150 35 283099
240 154 215959
239 218 270984
238 27 682499
236 92 347215
192 21 281965
24 66 561624
94 182 814387
26 81 299695
195 168 221779
137 30 914707
169 147 778550
141 186 253969
142 28 819951
238 90 958924
206 19 895980
212 117 277039
199 162 552074
110 181 547555
191 176 415059
148 140 735880
164 34 921319
170 133 16451
220 245 526514
236 66 655021
199 46 966603
209 244 763057
76 34 534246
161 93 252192
40 132 694995
46 123 429832
35 104 20371
67 131 537951
227 86 379635
115 202 21833
198 201 670832
197 110 358279
89 41 663962
102 128 565399
90 18 293367
71 81 984092
243 88 270375
55 105 74504
110 4 553200
61 76 680109
65 122 332686
7 233 408287
151 205 443297
196 150 537757
219 224 736212
34 152 707935
211 11 866397
201 133 812484
98 231 171116
237 73 478018
107 65 239086
7 36 113725
238 120 598836
89 35 298574
95 239 500392
45 68 423362
212 47 148120
143 35 672464
229 104 494803
202 200 684025
190 114 349899
179 193 47595
61 14 359229
112 94 533467
22 194 318501
25 240 119056
168 96 571426
83 5 904626
182 9 78564
209 224 885913
197 171 465537
88 154 513224
171 78 59786
4 135 601272
25 89 701317
235 30 751079
237 205 260504
190 79 88209
64 6 818708
236 236 512131
28 81 123373
104 198 572592
200 237 755392
96 116 216572
104 153 938694
245 219 845661
120 225 102351
155 144 690312
48 158 920986
207 75 311828
12 130 685937
143 88 354231
113 18 963802
232 48 627417
219 80 162886
235 119 215895
94 231 639115
157 244 438960
28 208 395985
45 139 717374
119 125 6024
128 0 795697
202 220 640326
166 98 270382
155 205 959008
45 167 761538
134 243 377651
228 227 286170
46 14 580945
171 199 852774
112 52 988630
222 160 260431
28 95 797095
125 182 674683
56 12 951363
22 164 339127
62 171 129084
181 211 822602
208 42 626104
101 29 526209
81 240 451348
12 59 414783
153 35 762631
112 235 19875
19 180 80092
228 17 516288
229 102 634535
157 237 998407
201 173 791688
163 182 896417
114 245 308192
170 232 572555
176 176 186447
237 30 77501
64 167 442585
13 244 703211
195 189 339852
41 203 683497
231 173 674120
132 185 808066
228 194 23099
93 129 619850
82 138 552958
176 112 192758
70 99 860822
192 148 793614
105 117 369748
209 58 366779
51 198 616850
217 17 166464
87 142 695230
203 162 591926
54 194 270273
177 14 836285
46 242 275762
74 95 425418
184 211 664654
73 43 7627
227 95 218301
69 70 584055
227 219 963288
18 199 747344
152 116 299562
113 44 410535
9 74 417268
202 103 454376
60 248 477528
11 229 680331
181 61 506826
178 173 843544
92 14 894944
114 64 372523
145 35 10963
71 101 34216
57 94 160168
248 151 130500
211 130 816181
86 6 107221
102 224 640015
236 64 689553
44 197 451845
232 241 213611
46 40 150716
122 147 871093
87 249 878751
165 111 595065
194 119 537421
85 66 649783
122 93 760043
186 179 126311
153 145 83426
129 16 700852
111 91 372022
74 248 580138
55 24 396172
35 115 608988
199 91 465331
123 75 510943
136 43 947486
129 36 77595
238 62 728278
54 175 248445
19 215 128790
203 60 792865
213 52 858069
23 10 919596
226 64 667248
64 91 642563
165 153 333186
35 180 179324
142 227 824079
133 238 808008
167 212 647376
53 173 662457
235 165 736976
194 111 523785
54 123 791528
118 35 402977
137 101 523190
39 14 503352
181 145 597295
242 183 693951
139 246 812404
129 133 198153
59 93 779744
167 226 739929
85 219 428578
31 167 239415
12 91 366793
161 5 447693
191 55 329671
106 173 705382
143 45 690860
115 199 533763
211 94 968519
42 75 857135
135 211 568315
46 231 563204
118 90 343666
4 129 581121
240 183 701112
207 43 962543
75 201 560497
69 70 677546
194 182 565871
206 68 262163
89 93 852246
76 100 710142
226 38 679321
182 20 671584
111 47 72006
143 66 584215
150 204 748439
43 174 622720
8 55 685326
2 156 262723
7 224 929297
66 16 732683
113 195 598471
170 110 387396
132 151 659313
161 14 723039
56 86 731055
162 162 982073
97 233 24840
109 2 152278
230 143 821135
58 224 562530
59 24 584579
19 35 743449
233 3 800650
182 10 735305
47 140 71378
113 215 230170
10 41 232593
138 4 761925
83 69 431327
130 130 747111
203 62 621544
238 200 1824
124 41 129199
172 104 835938
2 139 288988
33 48 670113
176 212 937631
108 77 466965
182 42 884044
139 27 849133
239 180 902852
203 164 442154
142 6 682008
37 89 631246
136 155 157544
131 248 873985
197 95 629491
154 204 840798
125 23 765989
162 213 106786
19 235 255433
8 39 3910
103 179 161513
216 224 242649
190 98 420309
157 58 377383
147 150 659406
240 58 113513
200 166 804234
143 107 661667
41 209 481435
132 197 431905
249 134 903203
206 48 57724
57 236 503332
80 175 508435
38 101 533266
36 24 835042
223 46 638274
188 109 203371
146 104 645386
198 69 164435
10 67 339383
32 6 326692
38 163 742449
229 242 355491
60 102 497385
50 166 806302
196 82 390061
20 209 415075
147 172 757505
208 232 543955
214 193 456210
55 214 861351
240 89 718824
146 155 168304
197 157 444654
208 103 25000
108 8 574950
54 172 133704
158 56 228601
121 155 98832
236 63 566624
64 28 986732
177 160 167012
135 12 593181
62 230 899573
25 174 113375
210 18 223237
67 148 254373
147 41 132540
167 125 367022
29 115 399588
157 225 948929
115 22 285796
132 72 76068
24 208 766893
169 45 418957
32 215 387056
227 43 361442
63 77 455099
135 1 826899
116 197 184726
57 63 376213
228 220 232517
16 128 607184
60 148 687932
21 105 726665
238 98 178929
43 30 30487
173 229 29655
29 123 822627
73 63 171770
219 72 411290
140 233 454185
93 246 487733
120 131 920390
195 225 776975
55 224 373917
143 188 671730
148 189 259536
163 66 800056
226 237 840521
71 51 866953
46 47 955895
